"GroundSpeed";"Heading";"IsDelayed";"IsOnRoute";"Latitude";"Longitude";"Name";"RouteID";"Seconds";"TimeStamp";"VehicleID";"timestamp"
0;0;FALSE;TRUE;39.67516;-75.74128;"Bus 320";29;15;"/Date(1734202602000-0700)/";13;"2024-12-14_115628_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74128;"Bus 320";29;14;"/Date(1734202607000-0700)/";13;"2024-12-14_115633_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74129;"Bus 320";29;14;"/Date(1734202612000-0700)/";13;"2024-12-14_115638_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74129;"Bus 320";29;14;"/Date(1734202617000-0700)/";13;"2024-12-14_115643_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74129;"Bus 320";29;14;"/Date(1734202622000-0700)/";13;"2024-12-14_115648_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74128;"Bus 320";29;14;"/Date(1734202627000-0700)/";13;"2024-12-14_115654_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74128;"Bus 320";29;13;"/Date(1734202632000-0700)/";13;"2024-12-14_115659_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.74128;"Bus 320";29;13;"/Date(1734202637000-0700)/";13;"2024-12-14_115704_AM_UTC"
0;0;FALSE;TRUE;39.67517;-75.74127;"Bus 320";29;13;"/Date(1734202642000-0700)/";13;"2024-12-14_115709_AM_UTC"
0;0;FALSE;TRUE;39.67518;-75.74127;"Bus 320";29;18;"/Date(1734202652000-0700)/";13;"2024-12-14_115715_AM_UTC"
0;0;FALSE;TRUE;39.67518;-75.74127;"Bus 320";29;13;"/Date(1734202652000-0700)/";13;"2024-12-14_115720_AM_UTC"
0;0;FALSE;TRUE;39.67518;-75.74127;"Bus 320";29;13;"/Date(1734202657000-0700)/";13;"2024-12-14_115725_AM_UTC"
0;0;FALSE;TRUE;39.67519;-75.74127;"Bus 320";29;13;"/Date(1734202662000-0700)/";13;"2024-12-14_115730_AM_UTC"
0;0;FALSE;TRUE;39.67519;-75.74127;"Bus 320";29;13;"/Date(1734202667000-0700)/";13;"2024-12-14_115735_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;13;"/Date(1734202672000-0700)/";13;"2024-12-14_115740_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;18;"/Date(1734202682000-0700)/";13;"2024-12-14_115745_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;13;"/Date(1734202682000-0700)/";13;"2024-12-14_115750_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74127;"Bus 320";29;17;"/Date(1734202692000-0700)/";13;"2024-12-14_115756_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74127;"Bus 320";29;16;"/Date(1734202697000-0700)/";13;"2024-12-14_115801_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74127;"Bus 320";29;16;"/Date(1734202702000-0700)/";13;"2024-12-14_115806_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;16;"/Date(1734202707000-0700)/";13;"2024-12-14_115811_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;16;"/Date(1734202712000-0700)/";13;"2024-12-14_115816_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74128;"Bus 320";29;16;"/Date(1734202717000-0700)/";13;"2024-12-14_115822_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74128;"Bus 320";29;15;"/Date(1734202722000-0700)/";13;"2024-12-14_115827_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74128;"Bus 320";29;15;"/Date(1734202727000-0700)/";13;"2024-12-14_115832_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74127;"Bus 320";29;15;"/Date(1734202732000-0700)/";13;"2024-12-14_115837_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74127;"Bus 320";29;15;"/Date(1734202737000-0700)/";13;"2024-12-14_115842_AM_UTC"
0;0;FALSE;TRUE;39.67522;-75.74126;"Bus 320";29;15;"/Date(1734202742000-0700)/";13;"2024-12-14_115847_AM_UTC"
0;0;FALSE;TRUE;39.67522;-75.74125;"Bus 320";29;14;"/Date(1734202747000-0700)/";13;"2024-12-14_115853_AM_UTC"
0;0;FALSE;TRUE;39.67522;-75.74124;"Bus 320";29;14;"/Date(1734202752000-0700)/";13;"2024-12-14_115858_AM_UTC"
