"date","busOrRouteName","busesOrRoutes","idleTime","runTime","idleRatio"
"2024-12-11 08:09:07","Bus 319","30",21534,52273,0.411952633290609
"2024-12-11 11:40:10","Bus 316","30",9776,25962,0.37655034280872
"2024-12-11 11:57:53","Bus 312","29",5651,25222,0.224050432162398
"2024-12-11 12:12:06","Bus 311","29",7334,25731,0.285025844312308
"2024-12-11 13:46:37","Bus 324","28",35,400,0.0875
"2024-12-11 15:01:34","Bus 325","29",8752,26012,0.336460095340612
"2024-12-11 05:44:56","total","allBuses",113477,369616,0.307013224535734
"2024-12-11 05:44:56","29","Bus 188, Bus 236, Bus 311, Bus 312, Bus 313, Bus 318, Bus 320, Bus 325",51941,59410,0.874280424171015
"2024-12-11 06:21:06","28","Bus 188, Bus 320, Bus 322, Bus 324",20854,60323,0.345705618089286
"2024-12-11 06:56:10","30","Bus 180, Bus 313, Bus 316, Bus 319",40682,56650,0.718128861429832
"2024-12-12 05:49:39","Bus 312","29",12004,34176,0.35124063670412
"2024-12-12 06:36:48","Bus 324","28",6051,25827,0.2342896968289
"2024-12-12 06:47:12","Bus 313","29, 30",6454,25890,0.249285438393202
"2024-12-12 06:55:13","Bus 180","30",8846,22382,0.395228308462157
"2024-12-12 07:00:17","Bus 317","29",6339,24866,0.25492640553366
"2024-12-12 07:47:41","Bus 322","28",14715,55241,0.266378233558408
"2024-12-12 07:55:25","Bus 319","30",22763,53005,0.429450051881898
"2024-12-12 08:01:00","Bus 318","29",11003,34946,0.314857208264179
"2024-12-12 11:37:36","Bus 188","29",8746,26896,0.325178465199286
"2024-12-12 11:43:09","Bus 316","30",9469,25755,0.367656765676568
"2024-12-12 11:54:12","Bus 320","29",6630,25237,0.26270951380909
"2024-12-12 14:36:46","Bus 325","29",10362,27498,0.3768274056295
"2024-12-12 05:49:39","total","allBuses",123382,381719,0.323227295471276
"2024-12-12 05:49:39","29","Bus 188, Bus 312, Bus 313, Bus 317, Bus 318, Bus 320, Bus 325",59283,59125,1.00267230443975
"2024-12-12 06:36:48","28","Bus 322, Bus 324",20766,59494,0.349043601035399
"2024-12-12 06:55:13","30","Bus 180, Bus 313, Bus 316, Bus 319",43333,56617,0.765370825017221
"2024-12-13 06:28:06","Bus 324","28",6192,26587,0.232895776131192
"2024-12-13 06:43:57","Bus 312","29",14271,45740,0.312002623524268
"2024-12-13 06:45:26","Bus 236","29",9342,26888,0.347441237726867
